date,paxg_price,paxg_total_volume,paxg_market_cap,gold_price,gold_volume,paxg_log_price,gold_log_price,basis,abs_basis,premium_discount_pct,weekday,is_monday,gold_return,paxg_return,tracking_error,basis_change
2025-12-26,4515.493853915073,69394173.44275813,1624508965.1931233,4529.10009765625,263,8.415269840581539,8.418278544803755,-0.0030087042222159965,0.0030087042222159965,-0.3004182607537969,Friday,0,0.01076627799557528,-0.0032976173186902713,0.014063895314265551,-0.014063895314265551
2025-12-29,4550.805944963899,105218010.41970482,1637394035.793012,4325.10009765625,2044,8.423059627020491,8.372190563064926,0.0508690639555649,0.0508690639555649,5.218511530633879,Monday,1,-0.04608798173882889,0.007789786438952007,0.053877768177780894,0.053877768177780894
2025-12-30,4354.812815999148,396320974.8579533,1589347666.9882658,4370.10009765625,1837,8.379036906961991,8.382541193469468,-0.003504286507476806,0.003504286507476806,-0.34981536613544456,Tuesday,0,0.01035063040454176,-0.04402272005849994,0.0543733504630417,-0.0543733504630417
2025-12-31,4353.9110268504,264446777.4408436,1598767272.5114784,4325.60009765625,785,8.378829806778716,8.372306160644143,0.0065236461345730135,0.0065236461345730135,0.6544971461760838,Wednesday,0,-0.010235032825324453,-0.0002071001832746333,0.01002793264204982,0.01002793264204982
2026-01-02,4352.653883258501,63279955.345823936,1612373935.2441387,4314.39990234375,589,8.378541026160043,8.369713521388062,0.008827504771980799,0.008827504771980799,0.8866582092672964,Friday,0,-0.0025926392560808864,-0.00028878061867310123,0.002303858637407785,0.002303858637407785
2026-01-05,4383.260525863286,144218370.2068406,1632232264.4822683,4436.89990234375,618,8.38554813873064,8.397711191364179,-0.01216305263353945,0.01216305263353945,-1.2089381699174646,Monday,1,0.027997669976116413,0.0070071125705961634,0.02099055740552025,-0.02099055740552025
2026-01-06,4446.871304319736,259195514.19687486,1672600956.6803443,4482.2001953125,459,8.399956050204306,8.407869319876628,-0.007913269672322087,0.007913269672322087,-0.7882042178685201,Tuesday,0,0.010158128512449238,0.014407911473666601,0.004249782961217363,0.004249782961217363
2026-01-07,4509.997993563862,291533081.6712783,1699523643.3166373,4449.2998046875,972,8.414051987610563,8.40050201551867,0.01354997209189257,0.01354997209189257,1.3642189005203549,Wednesday,0,-0.007367304357957849,0.014095937406256809,0.021463241764214658,0.021463241764214658
2026-01-08,4472.169814456872,216606897.92578712,1690807310.49752,4449.7001953125,2423,8.40562898693529,8.400592001050814,0.005036985884474987,0.005036985884474987,0.5049692823809169,Thursday,0,8.998553214389915e-05,-0.008423000675273684,0.008512986207417583,-0.008512986207417583
2026-01-09,4478.1926109730175,194802061.86261302,1705540984.8096473,4490.2998046875,237,8.406974808956551,8.409674750152496,-0.0026999411959440778,0.0026999411959440778,-0.26962996327870103,Friday,0,0.009082749101681387,0.0013458220212623218,0.007736927080419065,-0.007736927080419065
2026-01-12,4539.234715646005,85250804.91176355,1736277167.3509367,4604.2998046875,156,8.420513711991063,8.434745886029118,-0.014232174038054879,0.014232174038054879,-1.4131375410275107,Monday,1,0.025071135876622463,0.013538903034511662,0.011532232842110801,-0.011532232842110801
2026-01-13,4602.770576299094,248402657.49328333,1760340299.6078067,4589.2001953125,239,8.43441370036328,8.431461038484148,0.0029526618791315684,0.0029526618791315684,0.2957025278708619,Tuesday,0,-0.0032848475449700487,0.013899988372216399,0.017184835917186447,0.017184835917186447
2026-01-14,4600.280232533454,216870528.56112632,1759230840.4481108,4626.2998046875,1313,8.4338725007376,8.439512649313857,-0.0056401485762567205,0.0056401485762567205,-0.5624272799545338,Wednesday,0,0.008051610829708622,-0.000541199625679667,0.008592810455388289,-0.008592810455388289
2026-01-15,4624.80180016814,224287689.74675694,1770233079.6577277,4616.2998046875,4358,8.439188795010567,8.437348755101262,0.0018400399093057018,0.0018400399093057018,0.1841733821535413,Thursday,0,-0.0021638942125949967,0.005316294272967426,0.007480188485562422,0.007480188485562422
2026-01-16,4620.174768778233,204679145.42693174,1768761613.7319646,4588.39990234375,352,8.438187812100173,8.431286637123822,0.006901174976350788,0.006901174976350788,0.6925042958494545,Friday,0,-0.006062117977439385,-0.001000982910394299,0.005061135067045086,0.005061135067045086
2026-01-20,4681.930599841509,184705814.36764196,1794196278.7200596,4759.60009765625,175,8.451465825181815,8.467918930598742,-0.016453105416927016,0.016453105416927016,-1.6318492356739625,Tuesday,0,0.03663229347491992,0.013278013081642115,0.023354280393277804,-0.023354280393277804
2026-01-21,4800.816475796943,432225260.71492755,1858157115.3436952,4831.7998046875,1706,8.47654128155513,8.482974307607247,-0.006433026052116375,0.006433026052116375,-0.6412378439292648,Wednesday,0,0.015055377008504678,0.02507545637331532,0.010020079364810641,0.010020079364810641
2026-01-22,4808.528465350099,619652285.7566255,1887115776.8902748,4908.7998046875,1175,8.478146383933309,8.498784751944644,-0.020638368011335118,0.020638368011335118,-2.0426854491325908,Thursday,0,0.0158104443373972,0.001605102378178458,0.014205341959218742,-0.014205341959218742
2026-01-23,4967.957550176696,391904196.51287776,1985942143.8902948,4976.2001953125,169,8.510764078926385,8.512421865786672,-0.0016577868602869472,0.0016577868602869472,-0.16564134906727898,Friday,0,0.01363711384202837,0.03261769499307654,0.01898058115104817,0.01898058115104817
2026-01-26,5061.613353858085,404809236.9253128,2037168579.03467,5079.7001953125,180,8.529440556097347,8.533007522160208,-0.003566966062860999,0.003566966062860999,-0.35606119965711996,Monday,1,0.0205856563735356,0.018676477170961547,0.0019091792025740517,-0.0019091792025740517
2026-01-27,5061.074492052811,566526640.2189034,2058333910.1498764,5079.89990234375,34,8.529334089946463,8.533046836115355,-0.003712746168892167,0.003712746168892167,-0.37058624486386077,Tuesday,0,3.931395514733538e-05,-0.00010646615088383271,0.0001457801060311681,-0.0001457801060311681
2026-01-28,5179.713650900526,10007584781.177574,2156226605.644004,5301.60009765625,112054,8.552505053976613,8.575763959194164,-0.023258905217550918,0.023258905217550918,-2.2990501831627803,Wednesday,0,0.04271712307880904,0.023170964030150287,0.01954615904865875,-0.01954615904865875
2026-01-29,5523.223022196824,886434685.6151128,2314971939.1273093,5318.39990234375,23709,8.616716849711809,8.578927766859113,0.037789082852695444,0.037789082852695444,3.8512169752938465,Thursday,0,0.0031638076649489477,0.06421179573519531,0.06104798807024636,0.06104798807024636
2026-01-30,5467.639379546262,1844293427.8081,2324029364.137824,4713.89990234375,8374,8.606602244598427,8.458270849147539,0.1483313954508887,0.1483313954508887,15.989721733967086,Friday,0,-0.12065691771157461,-0.010114605113381359,0.11054231259819325,0.11054231259819325
2026-02-02,4761.29974477964,429412953.59231275,2067783290.2974129,4622.5,3588,8.468275965578538,8.43869096326128,0.029585002317258358,0.029585002317258358,3.0026986431506693,Monday,1,-0.019579885886258808,-0.13832627901988914,0.11874639313363033,-0.11874639313363033
2026-02-03,4776.983492826211,1541034861.8041182,2099647372.073315,4903.7001953125,1213,8.471564557831597,8.49774534102304,-0.026180783191442458,0.026180783191442458,-2.5841037877360264,Tuesday,0,0.05905437776175937,0.003288592253058553,0.055765785508700816,-0.055765785508700816
2026-02-04,4955.988185714208,1097579834.9038908,2228015455.0431666,4920.39990234375,3886,8.508351858911286,8.501145087147412,0.007206771763874187,0.007206771763874187,0.7232803039750139,Wednesday,0,0.003399746124372882,0.03678730107968953,0.033387554955316645,0.033387554955316645
2026-02-05,5028.853156161436,938298889.0206761,2290227207.278686,4861.39990234375,793,8.522947236334526,8.48908172116707,0.03386551516745584,0.03386551516745584,3.444548014594618,Thursday,0,-0.012063365980342411,0.014595377423239242,0.026658743403581653,0.026658743403581653
2026-02-06,4711.380348385933,1034582979.7019163,2165268367.9470754,4951.2001953125,1386,8.457736211672406,8.507385289872659,-0.049649078200252106,0.049649078200252106,-4.843670978071422,Friday,0,0.018303568705588802,-0.06521102466211914,0.08351459336770795,-0.08351459336770795
2026-02-09,5039.817297782008,212232162.1132012,2314557814.5421534,5050.89990234375,170,8.525125109968274,8.527321704877853,-0.0021965949095790194,0.0021965949095790194,-0.2194184160450236,Monday,1,0.019936415005194164,0.06738889829586725,0.047452483290673086,0.047452483290673086
2026-02-10,5036.466635576001,427416395.44096243,2311527616.871357,5003.7998046875,281,8.524460050835032,8.517952863729644,0.0065071871053881125,0.0065071871053881125,0.652840484503378,Tuesday,0,-0.009368841148209128,-0.0006650591332419964,0.008703782014967132,0.008703782014967132
2026-02-11,5044.104419600555,340240637.68933475,2315415834.790365,5071.60009765625,2681,8.525975398615289,8.531411647909303,-0.005436249294014317,0.005436249294014317,-0.5421499630540979,Wednesday,0,0.013458784179659844,0.0015153477802574145,0.01194343639940243,-0.01194343639940243
2026-02-12,5076.523699140038,340963091.17284423,2329804648.6406164,4923.7001953125,484,8.532381995131846,8.501815599039745,0.030566396092101655,0.030566396092101655,3.1038344693088784,Thursday,0,-0.0295960488695588,0.0064065965165571725,0.03600264538611597,0.03600264538611597
2026-02-13,4915.716059928172,366946550.7490761,2256015092.073316,5022.0,232,8.500192710663123,8.52158353971753,-0.02139082905440759,0.02139082905440759,-2.1163667875712386,Friday,0,0.0197679406777862,-0.032189284468723045,0.051957225146509245,-0.051957225146509245
2026-02-17,4998.062991057837,197257995.24146393,2293402605.6579156,4882.89990234375,540,8.516805714568346,8.493494564638718,0.02331114992962746,0.02331114992962746,2.358497839753176,Tuesday,0,-0.028088975078812695,0.016613003905222357,0.04470197898403505,0.04470197898403505
2026-02-18,4869.415951682506,387500317.33917713,2237350959.125017,4986.5,544,8.49072928109879,8.514489539841923,-0.023760258743132923,0.023760258743132923,-2.3480206220293653,Wednesday,0,0.020994975203205257,-0.026076433469555127,0.047071408672760384,-0.047071408672760384
2026-02-19,4981.435084032238,205624283.60212156,2286599839.9287906,4975.89990234375,37,8.513473297990233,8.512361518128209,0.0011117798620237096,0.0011117798620237096,0.11123981183545312,Thursday,0,-0.00212802171371429,0.022744016891442342,0.024872038605156632,0.024872038605156632
2026-02-20,5004.710217612872,205556931.7028603,2297048720.595287,5059.2998046875,134,8.518134791494287,8.528983374186064,-0.010848582691776798,0.010848582691776798,-1.0789949040784297,Friday,0,0.0166218560578546,0.004661493504054093,0.011960362553800508,-0.011960362553800508
2026-02-23,5182.572721872747,184478714.5778837,2377590812.600856,5204.7001953125,779,8.55305687641076,8.55731738002657,-0.004260503615808986,0.004260503615808986,-0.42514405459283905,Monday,1,0.028334005840505938,0.03492208491647375,0.006588079075967812,0.006588079075967812
2026-02-24,5257.006301862337,384286784.8439314,2415615125.7013416,5155.7998046875,88,8.567316999575118,8.547877535665137,0.01943946390998086,0.01943946390998086,1.9629640600634435,Tuesday,0,-0.009439844361432748,0.014260123164357097,0.023699967525789845,0.023699967525789845
2026-02-25,5169.681871854463,576847328.8227262,2404175152.694326,5206.39990234375,1772,8.55056643211878,8.557643898267756,-0.007077466148976086,0.007077466148976086,-0.7052479866703666,Wednesday,0,0.009766362602618983,-0.01675056745633796,0.026516930058956945,-0.026516930058956945
2026-02-26,5182.768140124605,334509827.51678675,2440888281.197529,5176.5,1520,8.553094582503494,8.551884431206167,0.0012101512973270445,0.0012101512973270445,0.12108838258679518,Thursday,0,-0.005759467061588808,0.0025281503847143227,0.00828761744630313,0.00828761744630313
2026-02-27,5196.548114189211,227815245.297732,2460811274.6728215,5230.5,354,8.5557498599463,8.562262154783815,-0.006512294837515142,0.006512294837515142,-0.6491135801699369,Friday,0,0.010377723577647657,0.0026552774428054704,0.007722446134842187,-0.007722446134842187
2026-03-02,5435.477657664918,612125078.4206793,2575359682.2153115,5294.39990234375,72,8.600702681188531,8.57440491872215,0.026297762466381158,0.026297762466381158,2.664659978909325,Monday,1,0.012142763938335577,0.04495282124223188,0.0328100573038963,0.0328100573038963
2026-03-03,5354.771754922431,741528400.0281674,2575042956.8193936,5107.39990234375,1776,8.58574335917654,8.538445728329147,0.04729763084739247,0.04729763084739247,4.84340089494781,Tuesday,0,-0.03595919039300277,-0.01495932201199146,0.02099986838101131,0.02099986838101131
2026-03-04,5145.302261472839,1067219966.830363,2520718226.567918,5120.2001953125,679,8.545839395128105,8.540948817916115,0.004890577211989822,0.004890577211989822,0.49025556038452495,Wednesday,0,0.002503089586967988,-0.03990396404843466,0.04240705363540265,-0.04240705363540265
